"HolderAddress","Balance","PendingBalanceUpdate"
"0x006a4ae79a6058c5866c1c018696b545e0282829","500000000","No"
"0x0525e52386b1cfbaee002d15c00b796668f1f00d","5000000","No"
"0x15d6aaafad6255bae4cc6805617a03a7d8c5e991","500000000","No"
"0x3061c308e0757f86d56dad4b13eb67d0984d6222","40000000","No"
"0x3067d37864c981c3b92e385409995f9d78168dcc","100000000","No"
"0x328937546c37fbaeec90cbdca21cce0b40caa976","316000000","No"
"0x38b6490ac993ecc52389b056809db2e998bee8a9","2000000","No"
"0x3e3d39eaf9b8cd82622c3f1b6ee0437f9dbd20a9","9888459700","No"
"0x4d8b78c7ed7256188d05f5108428256da7610168","1982389990","No"
"0x8a324379c09a89b46725c4ebeb6a9fc8522c0bfd","2010260000","No"
"0x91a14c8bb15dbb07397855dfa9b5565b0e209ada","12051248000","No"
"0x9563b54ae8a926dbbd90156d5029cdad544fa474","30000000","No"
"0x95f37786b6d8243e8f026ddbacb71e625ef3f47f","5000000000","No"
"0x9a772e93e04714e3197c5584375ed50e672f0e8a","1130000","No"
"0xc3629d18310575d7f265fd27eb079a6556a4420c","925586730","No"
"0xce9c78fc31a962bacc1379c42ca692d1bb47f16f","606715000","No"
"0xd6dfe11860fa5b4914aa292c6ad02b48407b810b","500000000","No"
"0xdb65d9da32e5f42de5e588b8a365a7827a5c77ca","50009000","No"
"0xe164a4197e57e7224d26594fb96f3478fef02d8e","10000000","No"
"0xe1b8a4d858aa371c6e307e3a57c0a4c486a13f59","6041293610","No"
"0xf6b10a54b659c4c35a6d3cd4bb37a68bc15dc845","230493790","No"
"0xfafaff78c67d91471510e38ba2bb655e20b477cd","1000000000","No"
