"HolderAddress","Balance","PendingBalanceUpdate"
"0x028a58f5955b645c9ebd8c5b2770e58d8097b6f0","1391.75745","No"
"0x05e1bffc158c8aec1f8d6cd4634c7036fc8c1841","2699.214","No"
"0x07a0b789337ce73e091a882de59a891aa4ee9274","40238.73","No"
"0x09cac55b2e164992d30ff4725a7ffef24fefd7c4","4973.18028","No"
"0x0a21199c2193201286c6924100cdee99498045d9","43245.83114","No"
"0x0a75296e7e37f29f133c8f748b0588e6052c3a77","12583.6691","No"
"0x0e221294bdb5047a847e3a3f0d0497d0861d82da","1583.11329","No"
"0x0ee044b4a8a280da56d6c1402ac75ddb44a3fdf9","252.352","No"
"0x1013e894eaaecbc66d3f2505d20128225bd13814","20347.55102","No"
"0x10f0753eafb00cd6983f97ad56044489e62e3bde","23018.42","No"
"0x1187293a3ab130c8718d85f305414bccad305a3c","3219.17375","No"
"0x11b6dd623adea11d604f49f6a6a39bcd346432b1","285.91083","No"
"0x1203e627cf93c7e93fdfa45a7aebcae8c582ddad","28481.99367","No"
"0x13b0ae6d8ce0fcfa2f08d7e9da3da20d74a04b18","72584.73743","No"
"0x16d73bc41541391012ce5ac4389b95b595c011aa","17650.88414","No"
"0x1c8392e6d2eca71a30d57606c8aa612bd65b9011","27680.49451","No"
"0x1d127ffbe42e6a1f86e14627a1ecc8f5e27d1fc0","40","No"
"0x1d3ee10a717bd50379348f11ce3a205d5777af44","2045.43465","No"
"0x2080cef7cef7d98bd82fadc6e85de156386109b9","25000","No"
"0x210cd077cfdb2d9134014125c0d9fa7c0678fd5c","1072.10049","No"
"0x25700f4f2c9e3962d1167f98252f1e680ec1e47c","763.56368","No"
"0x290bffa7e25ad2eb6c3b0d14aee270a23dbfb9a1","20783.24843","No"
"0x29761961d360ee1763be34189f08f03a59b37a19","1494.68507","No"
"0x29887332f9460a0d115c327a8e83aa5da43a9138","1922","No"
"0x2a745cae2b4b9e0da5e8023dbbff09542e5bac85","54277.04065","No"
"0x2e38611d194ade0f305299b7666b893075986087","1797.1754","No"
"0x303ed1b8664e7b941b9122a733f2433a7589a753","2883.673","No"
"0x3061c308e0757f86d56dad4b13eb67d0984d6222","7505","No"
"0x34363217f454144dae700969c261876400fb11b5","99201","No"
"0x348999fe8cc30c294306fac323463e08b26be389","4488","No"
"0x38b6490ac993ecc52389b056809db2e998bee8a9","1.9","No"
"0x395ae7194474d9fab35357c227011c4b5f747741","15877.53276","No"
"0x3b12825ba697364351025c5cc11aff6c39e81c9c","1101.36118","No"
"0x3b299f5e69a8d15b0b80b0b43cfaa03ada7008e5","147.24717","No"
"0x3bffe2cef6f61e0ccee3a15d0541d405c458b091","15159.58083","No"
"0x3d6c9f63f7e73eb7a06c7d8cfc8add3df8ed56fe","18812","No"
"0x3e80a9a1b236bbbf97fa1bb9bb4057dcc86b9112","8854.00875","No"
