"HolderAddress","Balance","PendingBalanceUpdate"
"0x022a849d1ffa248f037725bc0686c5e43aa8e0f1","4.752002E+21","No"
"0x051ab69c6bf08f52c0fc465a61029d393ad7c567","6.03486678E+21","No"
"0x07a0b789337ce73e091a882de59a891aa4ee9274","1.09033904E+23","No"
"0x0f681c02dd9d9f0a38179f8ffd41d0684d74093f","2.320622E+21","No"
"0x158978091df36cc658c31e365d0860425a81b7b7","1.1743128E+22","No"
"0x15d6aaafad6255bae4cc6805617a03a7d8c5e991","1.042860851E+22","No"
"0x182d45bfc6161276710f29c6a957bfbb16f375d7","1.5101375E+22","No"
"0x187c29edc0bc66daed3be1a342702d2bce46f6fa","1.414E+22","No"
"0x1d85c5d87a8788c3924b767b472047ae66a72c68","1.7026938032E+23","No"
"0x2570aef251a7dda6f9fb28b895b40fff53a16fa1","2.9159E+22","No"
"0x268e654e2c65334afaa873bb928151477ee93dbc","4.11478138E+22","No"
"0x276ee7b861fff06ef5d34ffa59b4e99255605225","1.00031344E+23","No"
"0x284338b9d07528a998e20c6473c799b8e000cb6c","2.24800003E+23","No"
"0x3061c308e0757f86d56dad4b13eb67d0984d6222","6.179673E+21","No"
"0x31fcc0f1920695a557f315b3ba1ab46663b72457","3.061469889E+22","No"
"0x33ea6313b7235a14e2c7734a00e59e301b17f31b","6.730233E+21","No"
"0x364740993f095012bc2850433400878c3d8324bb","3.9953135E+22","No"
"0x37888977154e26dac30d03394a6c95b8c8833af1","6.772901E+21","No"
"0x38b6490ac993ecc52389b056809db2e998bee8a9","1.114E+18","No"
"0x3909f9b3f27fea3e2b8a7a3a9e6262df374ac93b","2.3513315E+22","No"
"0x3a2144aa13c95af8b9d50ef60d2b3a63acbdaaad","1.4643738932E+23","No"
"0x3bc09fb3b61633280e7b7b2acbecd3fcb5ed98cb","1.4807E+22","No"
"0x3e0943a372f6849cd54cd5bf0c1fe899fd0abe43","2.6716403E+22","No"
"0x3e80a9a1b236bbbf97fa1bb9bb4057dcc86b9112","7.064377904E+22","No"
"0x3fd3421fd3bb062046c30b4d2359242282953b3f","3.374E+21","No"
"0x418b5d44c42c1be3bd631bf3a30f2b86b580a5dd","8.45E+21","No"
"0x424869264acf650e1ff1becf46ec06ee1d315e7f","8.418762E+21","No"
"0x4526fc507dc781dea33cb96e0e864e1644026bf9","2.1002E+22","No"
"0x4f26ed391f6a510ae4cec11d83a40153d325e926","9.971326E+21","No"
"0x58bf68b84fc3cc0ca1d4ad93f5e20378d181397f","1.0863740847E+23","No"
"0x5a122752b4eb3f3ebc5d1ba957803931483418fd","8.46826E+21","No"
"0x5b35925b8c90eb5ebe58ebe7b52a349d9837fbff","2.916149E+21","No"
