"HolderAddress","Balance","PendingBalanceUpdate"
"0x0525e52386b1cfbaee002d15c00b796668f1f00d","5000000","No"
"0x158978091df36cc658c31e365d0860425a81b7b7","269293000","No"
"0x187c29edc0bc66daed3be1a342702d2bce46f6fa","1315000000","No"
"0x3067d37864c981c3b92e385409995f9d78168dcc","100000000","No"
"0x38b6490ac993ecc52389b056809db2e998bee8a9","1000000","No"
"0x3e3d39eaf9b8cd82622c3f1b6ee0437f9dbd20a9","5000000000","No"
"0x8a324379c09a89b46725c4ebeb6a9fc8522c0bfd","4000000000","No"
"0x91a14c8bb15dbb07397855dfa9b5565b0e209ada","10303000000","No"
"0x9563b54ae8a926dbbd90156d5029cdad544fa474","15000000","No"
"0x9a772e93e04714e3197c5584375ed50e672f0e8a","10005000","No"
"0x9d6fc67fb9463db2370005cac9c56df98653c15b","1717921050","No"
"0xb1721e04b13886fbdfbad96b0188948fef127413","4000000000","No"
"0xc3629d18310575d7f265fd27eb079a6556a4420c","165548000","No"
"0xca4b2c6cf5b01d6c945b4aa55628cbfea59e65c8","122000000","No"
"0xcf6a411865a20f2b29cec43091942e24dd699e37","459275700","No"
"0xd4ee4ad59e8a8ebff7895f7f116a775d7874f58f","20010551000","No"
"0xfd3bb19d548b9248c5691fcad7c2f82c57f8f21c","2780140000","No"
