"HolderAddress","Balance","PendingBalanceUpdate"
"0x0124340b3bcf85b384799471a0af3f1c0debcdd0","8.3688E+20","No"
"0x014ab9242442ff2fa09245fffee0ec517d5d1484","7.9212E+21","No"
"0x0238d43e5dbc413554da397936b7c82d3a81d6b0","1.76482E+21","No"
"0x02f7ebb4a726c7656db514664d67e75158400f8d","1.1694E+21","No"
"0x03708c4001b7e34ed2521973ede5baed6316332c","1.048913E+22","No"
"0x03c08d9c28b27ea50ce834795bbc0c2a9a236eff","1.05536E+21","No"
"0x0407ad6d4f5af5d4548a5949490d6355a2c6a2ee","1.0395E+22","No"
"0x040c4e4e585ca0f8ea21f911761e70ee2b771b49","1.64368E+21","No"
"0x044cf309b802956d6a1a836fbc1fbcf8762f7caf","1.96942E+21","No"
"0x04b15cd2c2cdae7863f059afb134fe0e14ea1e48","8.52093E+21","No"
"0x051ab69c6bf08f52c0fc465a61029d393ad7c567","6.04329994E+21","No"
"0x0548d702706310f779b32b07d659b6354f10c618","4.61683E+21","No"
"0x074915756de0000ac7b99bf95e3319a18d69d1ac","4.57E+21","No"
"0x078dc7d02225e59b0ae9a22bf77887c351b02034","1.61876E+21","No"
"0x088431d510193ed3d5b4015f6e806e82d2859703","1.771007E+21","No"
"0x09cac55b2e164992d30ff4725a7ffef24fefd7c4","3.953853E+21","No"
"0x0af397c582f050d5d3c0c3d6dcd790fbf9c63f3c","1.1424218498E+23","No"
"0x0c4fb81a6c692d2ad0ceea8b82fdcec47d4c3379","2.69733E+21","No"
"0x0d56b13edd0e6b3f683d6a5833bf100aeca0c884","2.9533E+20","No"
"0x0d734a787dfbadf4916b858d939aae0a9eeef4e2","1.225E+22","No"
"0x0e3ab7a2b56452089dcf44f4455ec4a2887e868d","1.9494115E+22","No"
"0x0e4ad56387e2a648796461ec85ff5267c40ec09f","8.7234E+20","No"
"0x0fb79e9ed6ddaaf30d1f4fc0c2f8e779ca7ca27a","2.8637E+20","No"
"0x1088c0b8e196786810691a3d25e088af0e293622","2.26267E+21","No"
"0x10fbbbcbe4ad8d981685e5570e2f5339556308ea","3.40726E+21","No"
"0x11ab4dc681d871a519743dabe229edcb2b8b2640","4.64988E+21","No"
"0x11b528796afa6fb6f55aebfa224f0b2e4db78675","7.3022E+20","No"
"0x11ff7d3a2b01f6a7bf61ee00ff9c758fb4cdaaba","1.48662E+21","No"
"0x1340128103fd6d36a86622f62238a2da85360b70","8.268775E+22","No"
"0x13cb81913ee05eca91e8aa0b229369cca250e040","1.15E+22","No"
"0x14b2dfe183b530bf8f36220dd075b37b421796c7","1E+18","No"
"0x14fe130a5d6e7b09b32bdf68a9b7ab2a54c2f6c1","3.75E+20","No"
"0x15155ec3f0033c760e60b4b14afe19f8d4413c74","3.306767E+22","No"
"0x158978091df36cc658c31e365d0860425a81b7b7","1E+20","No"
"0x158b545a7b1e48357d96a424bcfa1c854d40a2af","2.90355E+21","No"
"0x15d6aaafad6255bae4cc6805617a03a7d8c5e991","7.93063529E+22","No"
"0x1685088774920b82215f60acbd1217d0d69202e0","8.6687011E+20","No"
"0x1956a9294fb376d626c91bc4f7db741e938b978e","2.16017E+21","No"
"0x195e2d246d933843a55be7a1c1682356d2394014","6.0182E+20","No"
"0x1a4a77efad200658c794a51ed3317dbe4bcb4e5a","8.10317E+21","No"
"0x1d01ecfe38b64a18c230da4d653b90eb80e50fff","2.15419E+21","No"
"0x1dc520c5ba8055698b4d597e53c351c3385c2c8a","9.158E+20","No"
