"HolderAddress","Balance","PendingBalanceUpdate"
"0x0e4ad56387e2a648796461ec85ff5267c40ec09f","201.28","No"
"0x15b212c646d5b11745e61324e6a8a849300910b5","1617.65495","No"
"0x29a205deb97a439f10a916c6ae00ff0080d68256","17694.303","No"
"0x2bf674b122d8a5b1219466c8a1dab91adc1b637f","5431.62583","No"
"0x36c3d08b6fb000adfb27c2431fbaef45d31b4c65","5121.05785","No"
"0x38b6490ac993ecc52389b056809db2e998bee8a9","5","No"
"0x3a2144aa13c95af8b9d50ef60d2b3a63acbdaaad","8535.52299","No"
"0x44d142fa5ead699cb550ca9d2ab0022b74853362","10401","No"
"0x4d7697606c3c2a66bde7dff2c74e9bdbe909c839","110.0148","No"
"0x4fdb601aebf2c6ad947d97a00b7eeaf71cc5bf93","10","No"
"0x521422702541fc5226bb86dce088bef934a2c027","496.8838","No"
"0x54bda709181b70dc4beb0c2992e86e5fa526aa92","1035","No"
"0x73692f48468ba8786c0f2531a6aeb4da675594c8","1091.83325","No"
"0x7f534f83fee87a465f5d77e95c5d229e55c6266e","1000.49836","No"
"0x9d6fc67fb9463db2370005cac9c56df98653c15b","6261.22797","No"
"0x9fd28576964041bd73ea68f2f09ee587c858d291","168.82214","No"
"0xa180040475a377ca44de019a6344e63f889ad374","450","No"
"0xa71c696aede0613a12c077a710de03c4137a9bf2","50","No"
"0xac7ac7c8790a167f9247235467ba8a1e33303d83","500","No"
"0xb27d2eb0f5eb0fa6e0f3db681116c35ba824daa8","664.77727","No"
"0xb6ad7b652abafac837346a7a25ae24159e8222ea","1.071021E-11","No"
"0xb72463efa42e96dbacc962067bbb4b78533ec3f0","10188.24262","No"
"0xbabbe459a3df532adc193fd6cb2b3f327db9fc99","10000.48496","No"
"0xbc6eb886abd3d39b8b2118f65a17aab6339ac3dc","148.831","No"
"0xc5969821f1c8b1174bfd84a038143aa4f16cad92","382.13187","No"
"0xc7e318811aac4e3975bf49d6a7c6fbc82d2305a7","47234.826","No"
"0xc7f3a66f240b174cd4687854bc5cb90b592a58d2","350","No"
"0xcb6222f4df04385ea08e8da2a5871131ff5f6cba","10","No"
"0xd96fcc51a852767af7a599a5bdf2daf0f162627b","1045.71548","No"
"0xdede49f4b8aeec2256b92b0ab1994104b9f65692","807.11995","No"
"0xe07eca830b06002b41ccbc4195ba0611217c205c","667.29955","No"
"0xeb54b04b7329a8f1f32e6ba1e2419732bcb14647","3000","No"
"0xed7e14a936f5cc154c4709fd676b27c481c91e01","240","No"
"0xf06c9d1c50b24eec2c7c6eb866889c0da7a38768","600","No"
"0xf4a1818e017201c922a6725c0a1e1aaa29b7500a","4999.39483","No"
"0xf6b10a54b659c4c35a6d3cd4bb37a68bc15dc845","746.12443","No"
"0xfb9effacb5814b9701d6cfdc8e5f034ce59af139","7259","No"
"0xff43405580e6b626a7e1982a4c87f856df982a3a","1200","No"
